Execution ID,Milliseconds Passed,Temperature (C),Power Usage (W),GPU Utilization (%),Memory Usage (MB),Cache Usage,Clocks Video (MHz)
310,114,62.0,32.32,0.0,737.0,0.0,885.0
310,169,61.0,26.03,0.0,737.0,0.0,885.0
310,223,61.0,26.03,0.0,737.0,0.0,885.0
310,276,61.0,24.36,0.0,737.0,0.0,885.0
310,329,61.0,24.36,0.0,737.0,0.0,885.0
310,382,61.0,24.31,6.0,737.0,4.0,885.0
310,436,61.0,24.31,6.0,737.0,4.0,885.0
310,490,61.0,24.28,6.0,737.0,4.0,885.0
310,545,61.0,24.28,6.0,737.0,4.0,885.0
310,598,61.0,24.33,6.0,737.0,4.0,885.0
310,651,61.0,24.33,6.0,737.0,4.0,885.0
310,704,61.0,24.29,6.0,737.0,4.0,885.0
310,757,61.0,24.29,6.0,737.0,4.0,885.0
310,808,61.0,24.27,6.0,737.0,4.0,885.0
310,857,61.0,24.27,6.0,737.0,4.0,885.0
310,906,61.0,24.26,6.0,737.0,4.0,885.0
310,956,61.0,24.26,6.0,737.0,4.0,885.0
310,1005,61.0,24.26,6.0,737.0,4.0,885.0
310,1056,61.0,24.26,6.0,737.0,4.0,885.0
310,1105,61.0,24.32,6.0,737.0,4.0,885.0
310,1156,61.0,24.32,6.0,737.0,4.0,885.0
310,1211,61.0,24.25,6.0,737.0,4.0,885.0
310,1266,61.0,24.24,6.0,737.0,4.0,885.0
310,1323,61.0,24.24,6.0,737.0,4.0,885.0
310,1376,61.0,24.24,0.0,737.0,0.0,885.0
310,1429,61.0,24.24,0.0,737.0,0.0,885.0
310,1481,61.0,24.29,0.0,737.0,0.0,885.0
310,1534,61.0,24.29,0.0,737.0,0.0,885.0
310,1587,61.0,24.27,0.0,737.0,0.0,885.0
310,1640,61.0,24.27,0.0,737.0,0.0,885.0
310,1694,61.0,24.26,0.0,737.0,0.0,885.0
310,1747,61.0,24.26,0.0,737.0,0.0,885.0
310,1798,61.0,24.3,0.0,737.0,0.0,885.0
310,1851,61.0,24.3,0.0,737.0,0.0,885.0
310,1902,61.0,24.31,0.0,737.0,0.0,885.0
310,1952,61.0,24.31,0.0,737.0,0.0,885.0
310,2001,61.0,24.26,0.0,737.0,0.0,885.0
310,2053,61.0,24.26,0.0,737.0,0.0,885.0
310,2103,61.0,24.27,0.0,737.0,0.0,885.0
310,2152,61.0,24.27,0.0,737.0,0.0,885.0
310,2203,61.0,24.27,0.0,737.0,0.0,885.0
310,2253,61.0,24.27,0.0,737.0,0.0,885.0
310,2302,61.0,24.28,0.0,737.0,0.0,885.0
310,2348,61.0,24.28,0.0,737.0,0.0,885.0
310,2396,61.0,24.28,0.0,737.0,0.0,885.0
310,2442,61.0,24.28,0.0,737.0,0.0,885.0
310,2489,61.0,24.32,0.0,737.0,0.0,885.0
310,2537,61.0,24.32,0.0,737.0,0.0,885.0
310,2585,61.0,24.23,0.0,737.0,0.0,885.0
310,2634,61.0,24.23,0.0,737.0,0.0,885.0
310,2681,61.0,24.2,0.0,737.0,0.0,885.0
310,2727,61.0,24.2,0.0,737.0,0.0,885.0
310,2773,61.0,24.23,0.0,737.0,0.0,885.0
310,2822,61.0,24.23,0.0,737.0,0.0,885.0
310,2872,61.0,24.21,0.0,737.0,0.0,885.0
310,2921,61.0,24.21,0.0,737.0,0.0,885.0
310,2971,61.0,24.21,0.0,737.0,0.0,885.0
310,3020,61.0,24.21,0.0,737.0,0.0,885.0
