Execution ID,Milliseconds Passed,Temperature (C),Power Usage (W),GPU Utilization (%),Memory Usage (MB),Cache Usage,Clocks Video (MHz)
1,97,46.0,12.01,15.0,747.0,16.0,1395.0
1,341,47.0,27.44,15.0,811.0,16.0,1230.0
1,363,47.0,25.44,15.0,811.0,16.0,1245.0
1,385,46.0,25.44,15.0,811.0,16.0,1245.0
1,409,46.0,25.44,15.0,811.0,16.0,1245.0
1,438,46.0,25.44,15.0,811.0,16.0,1245.0
1,483,46.0,10.26,15.0,811.0,16.0,1245.0
1,533,46.0,10.26,15.0,811.0,16.0,1245.0
1,587,46.0,9.87,15.0,811.0,16.0,1245.0
1,640,46.0,9.87,15.0,811.0,16.0,1245.0
1,690,46.0,9.55,15.0,811.0,16.0,1245.0
1,743,46.0,9.55,15.0,811.0,16.0,1245.0
1,795,46.0,9.64,15.0,811.0,16.0,1245.0
1,848,46.0,9.64,15.0,811.0,16.0,1245.0
1,901,46.0,9.64,15.0,811.0,16.0,1245.0
1,953,46.0,9.64,25.0,811.0,24.0,1245.0
1,1005,46.0,9.67,25.0,811.0,24.0,1245.0
1,1058,46.0,9.67,25.0,811.0,24.0,1245.0
1,1111,46.0,9.56,25.0,811.0,24.0,1245.0
1,1165,46.0,9.56,25.0,811.0,24.0,1245.0
1,1217,46.0,9.75,25.0,811.0,24.0,1245.0
1,1270,46.0,9.17,25.0,811.0,24.0,1245.0
1,1323,46.0,9.17,25.0,811.0,24.0,1245.0
1,1375,46.0,10.82,25.0,811.0,24.0,1530.0
1,1427,46.0,10.82,25.0,811.0,24.0,1530.0
1,1479,46.0,11.34,25.0,811.0,24.0,1530.0
1,1531,46.0,11.34,25.0,811.0,24.0,1530.0
1,1583,46.0,11.65,25.0,811.0,24.0,1530.0
1,1636,46.0,11.65,25.0,811.0,24.0,1530.0
1,1688,46.0,11.5,25.0,811.0,24.0,1530.0
1,1740,46.0,11.5,25.0,811.0,24.0,1530.0
1,1793,46.0,11.69,25.0,811.0,24.0,1530.0
1,1845,46.0,11.69,25.0,811.0,24.0,1530.0
1,1897,46.0,11.59,25.0,811.0,24.0,1530.0
1,1950,46.0,11.59,0.0,811.0,0.0,1530.0
1,2002,46.0,11.69,0.0,811.0,0.0,1530.0
1,2054,46.0,11.69,0.0,811.0,0.0,1530.0
1,2107,46.0,11.52,0.0,811.0,0.0,1530.0
1,2170,46.0,11.52,0.0,811.0,0.0,885.0
1,2225,46.0,12.07,0.0,811.0,0.0,885.0
1,2280,46.0,8.09,0.0,811.0,0.0,885.0
1,2335,46.0,8.09,0.0,811.0,0.0,885.0
1,2389,46.0,8.58,0.0,811.0,0.0,885.0
1,2444,46.0,8.58,0.0,811.0,0.0,885.0
1,2498,46.0,8.42,0.0,811.0,0.0,885.0
1,2552,46.0,8.42,0.0,811.0,0.0,885.0
1,2607,46.0,8.36,0.0,811.0,0.0,885.0
1,2661,46.0,8.36,0.0,811.0,0.0,885.0
1,2715,46.0,8.45,0.0,811.0,0.0,885.0
1,2771,46.0,8.45,0.0,811.0,0.0,885.0
1,2825,46.0,8.28,0.0,811.0,0.0,885.0
1,2880,46.0,8.23,0.0,811.0,0.0,885.0
1,2934,46.0,8.23,0.0,811.0,0.0,885.0
1,2989,46.0,8.41,0.0,811.0,0.0,885.0
1,3044,46.0,8.41,0.0,811.0,0.0,885.0
