Execution ID,Milliseconds Passed,Temperature (C),Power Usage (W),GPU Utilization (%),Memory Usage (MB),Cache Usage,Clocks Video (MHz)
105,56,62.0,24.24,0.0,737.0,0.0,885.0
105,109,62.0,25.17,0.0,737.0,0.0,885.0
105,162,62.0,24.39,0.0,737.0,0.0,885.0
105,215,62.0,24.39,0.0,737.0,0.0,885.0
105,269,62.0,24.42,0.0,737.0,0.0,885.0
105,323,62.0,24.42,0.0,737.0,0.0,885.0
105,377,62.0,24.48,0.0,737.0,0.0,885.0
105,430,62.0,24.48,0.0,737.0,0.0,885.0
105,484,62.0,24.47,0.0,737.0,0.0,885.0
105,538,62.0,24.47,0.0,737.0,0.0,885.0
105,590,62.0,24.4,0.0,737.0,0.0,885.0
105,651,62.0,24.4,0.0,737.0,0.0,885.0
105,705,62.0,24.41,0.0,737.0,0.0,885.0
105,757,62.0,24.41,0.0,737.0,0.0,885.0
105,807,62.0,24.43,0.0,737.0,0.0,885.0
105,857,62.0,24.43,0.0,737.0,0.0,885.0
105,907,62.0,24.4,0.0,737.0,0.0,885.0
105,965,62.0,24.4,0.0,737.0,0.0,885.0
105,1014,62.0,24.4,0.0,737.0,0.0,885.0
105,1064,62.0,24.4,0.0,737.0,0.0,885.0
105,1117,62.0,24.36,0.0,737.0,0.0,885.0
105,1168,62.0,24.36,0.0,737.0,0.0,885.0
105,1218,62.0,24.36,0.0,737.0,0.0,885.0
105,1269,62.0,24.38,0.0,737.0,0.0,885.0
105,1319,62.0,24.38,0.0,737.0,0.0,885.0
105,1369,62.0,24.43,0.0,737.0,0.0,885.0
105,1418,62.0,24.43,0.0,737.0,0.0,885.0
105,1468,62.0,24.44,0.0,737.0,0.0,885.0
105,1518,62.0,24.44,0.0,737.0,0.0,885.0
105,1570,62.0,24.41,0.0,737.0,0.0,885.0
105,1619,62.0,24.41,0.0,737.0,0.0,885.0
105,1669,62.0,24.4,0.0,737.0,0.0,885.0
105,1719,62.0,24.4,0.0,737.0,0.0,885.0
105,1768,62.0,24.41,0.0,737.0,0.0,885.0
105,1817,62.0,24.41,0.0,737.0,0.0,885.0
105,1865,62.0,24.41,0.0,737.0,0.0,885.0
105,1915,62.0,24.42,0.0,737.0,0.0,885.0
105,1963,62.0,24.42,0.0,737.0,0.0,885.0
105,2013,62.0,24.36,0.0,737.0,0.0,885.0
105,2060,62.0,24.36,0.0,737.0,0.0,885.0
105,2108,62.0,24.34,0.0,737.0,0.0,885.0
105,2158,62.0,24.34,0.0,737.0,0.0,885.0
105,2209,62.0,24.34,0.0,737.0,0.0,885.0
105,2259,62.0,24.34,0.0,737.0,0.0,885.0
105,2309,62.0,24.41,0.0,737.0,0.0,885.0
105,2361,62.0,24.41,0.0,737.0,0.0,885.0
105,2412,62.0,24.37,0.0,737.0,0.0,885.0
105,2461,62.0,24.37,0.0,737.0,0.0,885.0
105,2512,62.0,24.37,0.0,737.0,0.0,885.0
105,2562,62.0,24.37,0.0,737.0,0.0,885.0
105,2612,62.0,24.37,0.0,737.0,0.0,885.0
105,2662,62.0,24.37,0.0,737.0,0.0,885.0
105,2712,62.0,24.37,0.0,737.0,0.0,885.0
105,2762,62.0,24.37,0.0,737.0,0.0,885.0
105,2811,62.0,24.33,0.0,737.0,0.0,885.0
105,2858,62.0,24.33,0.0,737.0,0.0,885.0
105,2907,62.0,24.36,0.0,737.0,0.0,885.0
105,2954,62.0,24.36,0.0,737.0,0.0,885.0
105,3000,62.0,24.35,0.0,737.0,0.0,885.0
