Execution ID,Milliseconds Passed,Temperature (C),Power Usage (W),GPU Utilization (%),Memory Usage (MB),Cache Usage,Clocks Video (MHz)
102,117,61.0,28.05,0.0,737.0,0.0,885.0
102,170,61.0,29.98,0.0,737.0,0.0,885.0
102,224,61.0,29.98,0.0,737.0,0.0,885.0
102,279,61.0,24.22,0.0,737.0,0.0,885.0
102,332,61.0,24.22,0.0,737.0,0.0,885.0
102,386,61.0,24.2,0.0,737.0,0.0,885.0
102,439,61.0,24.04,0.0,737.0,0.0,885.0
102,494,61.0,24.04,0.0,737.0,0.0,885.0
102,547,61.0,24.13,0.0,737.0,0.0,885.0
102,607,61.0,24.13,0.0,737.0,0.0,885.0
102,659,61.0,24.12,0.0,737.0,0.0,885.0
102,708,61.0,24.12,0.0,737.0,0.0,885.0
102,759,61.0,24.12,0.0,737.0,0.0,885.0
102,809,61.0,24.12,0.0,737.0,0.0,885.0
102,859,61.0,24.11,0.0,737.0,0.0,885.0
102,909,61.0,24.11,0.0,737.0,0.0,885.0
102,961,61.0,24.11,0.0,737.0,0.0,885.0
102,1013,61.0,24.11,6.0,737.0,4.0,885.0
102,1065,61.0,24.12,6.0,737.0,4.0,885.0
102,1123,61.0,24.12,6.0,737.0,4.0,885.0
102,1177,61.0,24.11,6.0,737.0,4.0,885.0
102,1228,61.0,24.11,6.0,737.0,4.0,885.0
102,1280,61.0,24.14,6.0,737.0,4.0,885.0
102,1330,61.0,24.14,6.0,737.0,4.0,885.0
102,1380,61.0,24.08,6.0,737.0,4.0,885.0
102,1429,61.0,24.08,6.0,737.0,4.0,885.0
102,1480,61.0,24.1,6.0,737.0,4.0,885.0
102,1530,61.0,24.1,6.0,737.0,4.0,885.0
102,1581,61.0,24.1,6.0,737.0,4.0,885.0
102,1630,61.0,24.1,6.0,737.0,4.0,885.0
102,1681,61.0,24.08,6.0,737.0,4.0,885.0
102,1728,61.0,24.08,6.0,737.0,4.0,885.0
102,1775,61.0,24.06,6.0,737.0,4.0,885.0
102,1822,61.0,24.06,6.0,737.0,4.0,885.0
102,1869,61.0,24.1,6.0,737.0,4.0,885.0
102,1915,61.0,24.1,6.0,737.0,4.0,885.0
102,1962,61.0,24.13,6.0,737.0,4.0,885.0
102,2009,61.0,24.13,0.0,737.0,0.0,885.0
102,2056,61.0,24.06,0.0,737.0,0.0,885.0
102,2105,61.0,24.06,0.0,737.0,0.0,885.0
102,2151,61.0,24.1,0.0,737.0,0.0,885.0
102,2197,61.0,24.1,0.0,737.0,0.0,885.0
102,2246,61.0,24.09,0.0,737.0,0.0,885.0
102,2296,61.0,24.09,0.0,737.0,0.0,885.0
102,2345,61.0,24.13,0.0,737.0,0.0,885.0
102,2394,61.0,24.13,0.0,737.0,0.0,885.0
102,2444,61.0,24.09,0.0,737.0,0.0,885.0
102,2493,61.0,24.09,0.0,737.0,0.0,885.0
102,2544,61.0,24.15,0.0,737.0,0.0,885.0
102,2593,61.0,24.15,0.0,737.0,0.0,885.0
102,2644,61.0,24.13,0.0,737.0,0.0,885.0
102,2694,61.0,24.13,0.0,737.0,0.0,885.0
102,2744,61.0,24.12,0.0,737.0,0.0,885.0
102,2794,61.0,24.12,0.0,737.0,0.0,885.0
102,2843,61.0,24.12,0.0,737.0,0.0,885.0
102,2893,61.0,24.11,0.0,737.0,0.0,885.0
102,2944,61.0,24.11,0.0,737.0,0.0,885.0
102,2994,61.0,24.13,0.0,737.0,0.0,885.0
102,3043,61.0,24.13,0.0,737.0,0.0,885.0
