Execution ID,Milliseconds Passed,Temperature (C),Power Usage (W),GPU Utilization (%),Memory Usage (MB),Cache Usage,Clocks Video (MHz)
104,62,61.0,23.89,0.0,737.0,0.0,885.0
104,116,61.0,33.89,0.0,737.0,0.0,885.0
104,170,61.0,33.89,0.0,737.0,0.0,885.0
104,223,61.0,24.25,0.0,737.0,0.0,885.0
104,277,61.0,24.11,0.0,737.0,0.0,885.0
104,330,61.0,24.11,0.0,737.0,0.0,885.0
104,383,61.0,24.12,0.0,737.0,0.0,885.0
104,436,61.0,24.12,0.0,737.0,0.0,885.0
104,489,61.0,24.18,0.0,737.0,0.0,885.0
104,545,61.0,24.18,0.0,737.0,0.0,885.0
104,598,61.0,24.22,0.0,737.0,0.0,885.0
104,651,61.0,24.22,0.0,737.0,0.0,885.0
104,704,61.0,24.16,0.0,737.0,0.0,885.0
104,758,61.0,24.16,0.0,737.0,0.0,885.0
104,813,61.0,24.16,0.0,737.0,0.0,885.0
104,866,61.0,24.16,0.0,737.0,0.0,885.0
104,918,61.0,24.15,6.0,737.0,4.0,885.0
104,968,61.0,24.15,6.0,737.0,4.0,885.0
104,1018,61.0,24.14,6.0,737.0,4.0,885.0
104,1067,61.0,24.14,6.0,737.0,4.0,885.0
104,1121,61.0,24.13,6.0,737.0,4.0,885.0
104,1172,61.0,24.13,6.0,737.0,4.0,885.0
104,1225,61.0,24.15,6.0,737.0,4.0,885.0
104,1287,61.0,24.14,6.0,737.0,4.0,885.0
104,1342,61.0,24.14,6.0,737.0,4.0,885.0
104,1394,61.0,24.16,6.0,737.0,4.0,885.0
104,1449,61.0,24.16,6.0,737.0,4.0,885.0
104,1498,61.0,24.2,6.0,737.0,4.0,885.0
104,1549,61.0,24.2,6.0,737.0,4.0,885.0
104,1599,61.0,24.14,6.0,737.0,4.0,885.0
104,1650,61.0,24.14,6.0,737.0,4.0,885.0
104,1700,61.0,24.18,6.0,737.0,4.0,885.0
104,1751,61.0,24.18,6.0,737.0,4.0,885.0
104,1801,61.0,24.15,6.0,737.0,4.0,885.0
104,1852,61.0,24.15,6.0,737.0,4.0,885.0
104,1904,61.0,24.16,6.0,737.0,4.0,885.0
104,1963,61.0,24.16,0.0,737.0,0.0,885.0
104,2014,61.0,24.18,0.0,737.0,0.0,885.0
104,2064,61.0,24.18,0.0,737.0,0.0,885.0
104,2111,61.0,24.17,0.0,737.0,0.0,885.0
104,2158,61.0,24.17,0.0,737.0,0.0,885.0
104,2209,61.0,24.15,0.0,737.0,0.0,885.0
104,2255,61.0,24.15,0.0,737.0,0.0,885.0
104,2306,61.0,24.19,0.0,737.0,0.0,885.0
104,2362,61.0,24.19,0.0,737.0,0.0,885.0
104,2412,61.0,24.2,0.0,737.0,0.0,885.0
104,2461,61.0,24.2,0.0,737.0,0.0,885.0
104,2509,61.0,24.16,0.0,737.0,0.0,885.0
104,2556,61.0,24.16,0.0,737.0,0.0,885.0
104,2603,61.0,24.14,0.0,737.0,0.0,885.0
104,2654,61.0,24.14,0.0,737.0,0.0,885.0
104,2701,61.0,24.19,0.0,737.0,0.0,885.0
104,2747,61.0,24.19,0.0,737.0,0.0,885.0
104,2794,61.0,24.13,0.0,737.0,0.0,885.0
104,2841,61.0,24.13,0.0,737.0,0.0,885.0
104,2888,61.0,24.17,0.0,737.0,0.0,885.0
104,2937,61.0,24.17,0.0,737.0,0.0,885.0
104,2987,61.0,24.17,0.0,737.0,0.0,885.0
104,3036,61.0,24.18,0.0,737.0,0.0,885.0
